GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JDBCBank,application,Console,128,0,10,0,41,0,9,0,4,0
JDBCBank,application,NegativeNumericException,6,0,0,0,3,0,1,0,1,0
JDBCBank,application,ConnectionUtil,75,0,2,0,25,0,4,0,3,0
JDBCBank,application,Menus,153,0,16,0,44,0,13,0,5,0
JDBCBank,accounts,AcctDaoImpl,347,3,36,0,102,1,23,1,5,1
JDBCBank,accounts,AcctMgmt,296,0,30,0,60,0,19,0,4,0
JDBCBank,accounts,Account,87,18,14,0,29,7,20,1,13,1
JDBCBank,transactions,TranDaoImpl,250,0,24,0,73,0,15,0,3,0
JDBCBank,transactions,Transaction,52,0,0,0,22,0,15,0,15,0
JDBCBank,users,User,231,27,30,0,67,9,30,1,15,1
JDBCBank,users,UserDaoImpl,512,3,58,0,141,1,36,1,7,1
JDBCBank,users,UserMgmt,323,0,22,0,72,0,18,0,7,0
